Timestamp,In beeld (tot),First frame,Last frame
0,3,0,35
3,6,36,71
6,9,72,107
9,12,108,143
12,15,144,179
15,18,180,215
18,21,216,251
21,24,252,287
24,27,288,323
27,30,324,359
30,33,360,395
33,36,396,431
36,39,432,467
39,42,468,503
42,45,504,539
45,48,540,575
48,51,576,611
51,54,612,647
54,57,648,683
57,60,684,719
60,63,720,755
63,66,756,791
66,69,792,827
69,72,828,863
72,75,864,899
75,78,900,935
78,81,936,971
81,84,972,1007
84,87,1008,1043
87,90,1044,1079
90,107.25,1080,1286
107.25,110.083,1287,1320
110.083,129.25,1321,1550
129.25,132.25,1551,1586
132.25,135.25,1587,1622
135.25,138.25,1623,1658
138.25,141.25,1659,1694
141.25,142.583,1695,1710
142.583,144.25,1711,1730
144.25,147.25,1731,1766
147.25,150.25,1767,1802
150.25,153.25,1803,1838
153.25,156.25,1839,1874
156.25,159.25,1875,1910
159.25,162.25,1911,1946
162.25,165.25,1947,1982
165.25,168.25,1983,2018
168.25,171.25,2019,2054
171.25,174.167,2055,2089
